"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2024","6,900","6,900","6,900","6,700","135.76M","0.00%"
"04/01/2024","6,900","7,250","7,250","6,750","158.36M","-4.83%"
"03/28/2024","7,250","7,150","7,250","7,125","90.90M","1.05%"
"03/27/2024","7,175","7,200","7,250","7,175","46.30M","0.00%"
"03/26/2024","7,175","7,125","7,225","7,125","74.27M","-1.03%"
"03/25/2024","7,250","7,050","7,250","7,000","78.21M","2.84%"
"03/22/2024","7,050","7,000","7,075","6,950","87.32M","0.00%"
"03/21/2024","7,050","7,100","7,200","7,050","81.77M","0.00%"
"03/20/2024","7,050","7,050","7,050","7,000","83.42M","-3.09%"
"03/19/2024","7,275","7,250","7,350","7,225","100.84M","1.39%"
"03/18/2024","7,175","7,425","7,425","7,175","105.78M","-3.04%"
"03/15/2024","7,400","7,450","7,500","7,275","250.58M","0.00%"
"03/14/2024","7,400","7,250","7,400","7,225","161.19M","1.72%"
"03/13/2024","7,275","7,250","7,275","7,150","126.02M","2.11%"
"03/08/2024","7,125","7,150","7,175","7,100","109.03M","0.35%"
"03/07/2024","7,100","7,075","7,125","7,025","94.95M","0.35%"
"03/06/2024","7,075","7,000","7,100","7,000","74.18M","0.71%"
"03/05/2024","7,025","7,075","7,100","7,000","92.56M","0.00%"
"03/04/2024","7,025","7,000","7,050","6,975","44.71M","0.00%"
"03/01/2024","7,025","7,050","7,075","6,975","90.74M","0.36%"
"02/29/2024","7,000","7,125","7,150","7,000","150.73M","-1.75%"
"02/28/2024","7,125","7,025","7,125","7,025","59.74M","0.71%"
"02/27/2024","7,075","6,975","7,100","6,975","58.07M","0.35%"
"02/26/2024","7,050","6,950","7,075","6,950","77.21M","0.00%"
"02/23/2024","7,050","7,050","7,100","7,000","109.40M","-0.70%"
"02/22/2024","7,100","7,175","7,200","7,100","85.74M","-2.07%"
"02/21/2024","7,250","7,125","7,250","7,075","130.26M","1.40%"
"02/20/2024","7,150","7,250","7,250","7,150","87.31M","0.00%"
"02/19/2024","7,150","7,150","7,325","7,125","83.75M","-0.69%"
"02/16/2024","7,200","7,375","7,400","7,200","142.02M","0.00%"
"02/15/2024","7,200","7,300","7,375","7,150","220.53M","2.49%"
"02/13/2024","7,025","7,100","7,125","7,025","102.67M","-1.06%"
"02/12/2024","7,100","7,150","7,200","7,050","183.78M","2.16%"
"02/07/2024","6,950","6,875","6,950","6,850","89.76M","1.46%"
"02/06/2024","6,850","6,825","6,925","6,775","90.15M","0.37%"
"02/05/2024","6,825","6,700","6,950","6,675","150.54M","2.25%"
"02/02/2024","6,675","6,625","6,675","6,600","120.12M","1.91%"
"02/01/2024","6,550","6,575","6,625","6,500","168.15M","-1.50%"
"01/31/2024","6,650","6,650","6,700","6,650","128.19M","0.00%"
"01/30/2024","6,650","6,475","6,700","6,450","123.33M","2.70%"
"01/29/2024","6,475","6,350","6,475","6,275","124.75M","2.78%"
"01/26/2024","6,300","6,250","6,325","6,225","77.24M","0.40%"
"01/25/2024","6,275","6,325","6,400","6,250","99.09M","-1.95%"
"01/24/2024","6,400","6,450","6,475","6,350","97.29M","-1.54%"
"01/23/2024","6,500","6,525","6,550","6,450","77.04M","0.00%"
"01/22/2024","6,500","6,500","6,550","6,450","96.99M","-0.38%"
"01/19/2024","6,525","6,500","6,525","6,425","74.81M","0.00%"
"01/18/2024","6,525","6,525","6,550","6,475","78.21M","0.00%"
"01/17/2024","6,525","6,525","6,625","6,500","80.93M","0.00%"
"01/16/2024","6,525","6,525","6,625","6,500","83.52M","0.38%"
"01/15/2024","6,500","6,575","6,625","6,475","83.07M","-1.14%"
"01/12/2024","6,575","6,575","6,675","6,525","114.04M","1.94%"
"01/11/2024","6,450","6,425","6,500","6,400","41.46M","0.39%"
"01/10/2024","6,425","6,375","6,450","6,325","50.02M","0.78%"
"01/09/2024","6,375","6,425","6,450","6,350","77.95M","-0.39%"
"01/08/2024","6,400","6,500","6,600","6,375","151.02M","-0.39%"
"01/05/2024","6,425","6,400","6,475","6,350","114.34M","1.18%"
"01/04/2024","6,350","6,125","6,400","6,100","152.51M","4.10%"
"01/03/2024","6,100","6,100","6,150","6,050","30.05M","-0.41%"
"01/02/2024","6,125","6,050","6,125","6,025","26.24M","1.24%"
"12/29/2023","6,050","6,125","6,125","6,000","63.10M","-1.22%"
"12/28/2023","6,125","6,050","6,150","6,000","75.12M","2.08%"
"12/27/2023","6,000","6,000","6,025","5,925","48.70M","0.42%"
"12/22/2023","5,975","5,950","5,975","5,925","29.98M","0.00%"
"12/21/2023","5,975","5,950","5,975","5,925","50.36M","0.84%"
"12/20/2023","5,925","5,900","5,975","5,900","65.36M","-0.84%"
"12/19/2023","5,975","5,950","5,975","5,925","54.00M","0.84%"
"12/18/2023","5,925","5,850","5,950","5,850","101.46M","0.42%"
"12/15/2023","5,900","5,950","6,000","5,900","142.38M","-0.84%"
"12/14/2023","5,950","5,825","6,025","5,800","189.38M","3.93%"
"12/13/2023","5,725","5,750","5,775","5,700","121.45M","-1.29%"
"12/12/2023","5,800","5,800","5,825","5,750","55.11M","0.43%"
"12/11/2023","5,775","5,650","5,800","5,650","68.66M","1.32%"
"12/08/2023","5,700","5,750","5,775","5,650","98.04M","-0.87%"
"12/07/2023","5,750","5,800","5,825","5,725","97.97M","-0.86%"
"12/06/2023","5,800","5,925","5,950","5,800","88.75M","-2.93%"
"12/05/2023","5,975","6,000","6,000","5,875","58.67M","-0.42%"
"12/04/2023","6,000","5,925","6,025","5,900","66.16M","1.69%"
"12/01/2023","5,900","5,850","5,900","5,825","31.37M","0.85%"
"11/30/2023","5,850","5,850","5,925","5,825","117.37M","0.00%"
"11/29/2023","5,850","5,850","5,925","5,825","36.80M","-0.85%"
"11/28/2023","5,900","5,900","5,925","5,875","58.26M","0.00%"
"11/27/2023","5,900","5,900","5,925","5,875","39.72M","0.43%"
"11/24/2023","5,875","5,925","5,925","5,850","33.28M","-0.42%"
"11/23/2023","5,900","5,950","5,950","5,900","36.73M","0.43%"
"11/22/2023","5,875","5,825","5,900","5,825","21.11M","0.00%"
"11/21/2023","5,875","5,850","5,925","5,825","55.09M","0.00%"
"11/20/2023","5,875","5,825","5,925","5,825","27.06M","-0.42%"
"11/17/2023","5,900","5,875","5,950","5,850","33.96M","-0.42%"
"11/16/2023","5,925","5,850","5,925","5,825","54.30M","0.00%"
"11/15/2023","5,925","5,900","5,975","5,875","74.26M","1.72%"
"11/14/2023","5,825","5,825","5,900","5,800","50.59M","0.00%"
"11/13/2023","5,825","5,850","5,850","5,800","22.08M","0.87%"
"11/10/2023","5,775","5,850","5,850","5,775","59.61M","-1.70%"
"11/09/2023","5,875","5,825","5,900","5,800","45.03M","0.43%"
"11/08/2023","5,850","5,775","5,850","5,725","63.55M","-0.43%"
